"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	2337	279311	836.702	1028.216
	"Baldwin County, AL"	"01003"	8835	903205	978.183	856.780
	"Barbour County, AL"	"01005"	1852	171462	1080.123	1040.675
	"Bibb County, AL"	"01007"	1302	128215	1015.482	1043.927
	"Blount County, AL"	"01009"	3062	317625	964.030	966.256
	"Bullock County, AL"	"01011"	823	67711	1215.460	1076.797
	"Butler County, AL"	"01013"	1743	125874	1384.718	1094.771
	"Calhoun County, AL"	"01015"	7945	675784	1175.672	1119.393
	"Chambers County, AL"	"01017"	2868	215244	1332.441	1075.397
	"Cherokee County, AL"	"01019"	1650	147082	1121.823	972.902
	"Chilton County, AL"	"01021"	2583	245032	1054.148	1061.898
	"Choctaw County, AL"	"01023"	1038	91640	1132.693	961.586
	"Clarke County, AL"	"01025"	1721	163570	1052.149	977.037
	"Clay County, AL"	"01027"	1067	85210	1252.200	987.299
	"Cleburne County, AL"	"01029"	990	85906	1152.422	1097.312
	"Coffee County, AL"	"01031"	2778	266233	1043.447	953.467
	"Colbert County, AL"	"01033"	3733	327331	1140.436	964.205
	"Conecuh County, AL"	"01035"	1045	82258	1270.393	1074.238
	"Coosa County, AL"	"01037"	768	70549	1088.605	973.379
	"Covington County, AL"	"01039"	3021	222471	1357.930	1012.519
	"Crenshaw County, AL"	"01041"	1075	82102	1309.347	1030.252
	"Cullman County, AL"	"01043"	5365	466821	1149.263	1040.230
	"Dale County, AL"	"01045"	2711	295266	918.155	963.864
	"Dallas County, AL"	"01047"	3316	272273	1217.895	1159.216
	"DeKalb County, AL"	"01049"	4069	397575	1023.455	976.931
	"Elmore County, AL"	"01051"	3464	415923	832.846	945.774
	"Escambia County, AL"	"01053"	2636	227782	1157.247	1081.717
	"Etowah County, AL"	"01055"	7986	618702	1290.767	1097.341
	"Fayette County, AL"	"01057"	1342	109387	1226.837	975.822
	"Franklin County, AL"	"01059"	2262	185914	1216.692	1084.665
	"Geneva County, AL"	"01061"	1899	154371	1230.153	973.704
	"Greene County, AL"	"01063"	670	58899	1137.541	999.108
	"Hale County, AL"	"01065"	1204	102932	1169.704	1125.852
	"Henry County, AL"	"01067"	1242	99122	1253.001	988.231
	"Houston County, AL"	"01069"	5325	546034	975.214	929.113
	"Jackson County, AL"	"01071"	3525	322249	1093.875	1036.424
	"Jefferson County, AL"	"01073"	43499	3948217	1101.738	1038.749
	"Lamar County, AL"	"01075"	1194	92324	1293.272	1050.615
	"Lauderdale County, AL"	"01077"	5556	529577	1049.139	903.114
	"Lawrence County, AL"	"01079"	2117	207612	1019.691	1050.265
	"Lee County, AL"	"01081"	4761	718781	662.371	972.380
	"Limestone County, AL"	"01083"	3499	409763	853.908	949.846
	"Lowndes County, AL"	"01085"	859	78049	1100.591	1135.283
	"Macon County, AL"	"01087"	1667	139776	1192.622	1134.709
	"Madison County, AL"	"01089"	13533	1733127	780.843	904.939
	"Marengo County, AL"	"01091"	1526	132330	1153.178	1008.635
	"Marion County, AL"	"01093"	2283	184163	1239.663	992.591
	"Marshall County, AL"	"01095"	5669	504120	1124.534	1055.274
	"Mobile County, AL"	"01097"	23728	2393504	991.350	1035.359
	"Monroe County, AL"	"01099"	1541	143771	1071.843	971.027
	"Montgomery County, AL"	"01101"	12284	1339033	917.378	970.254
	"Morgan County, AL"	"01103"	6366	674380	943.978	968.399
	"Perry County, AL"	"01105"	923	68390	1349.613	1176.780
	"Pickens County, AL"	"01107"	1590	123756	1284.786	1083.985
	"Pike County, AL"	"01109"	1917	180559	1061.703	1097.443
	"Randolph County, AL"	"01111"	1656	134851	1228.022	1025.354
	"Russell County, AL"	"01113"	3402	297161	1144.834	1146.136
	"St. Clair County, AL"	"01115"	3970	409750	968.883	1072.225
